"Date","Price","Open","High","Low","Vol.","Change %"
"03-04-2024","997.75","995.00","1,016.00","990.00","4.11M","-0.07%"
"02-04-2024","998.40","972.65","1,001.80","961.30","5.92M","2.86%"
"01-04-2024","970.60","925.00","984.45","924.00","4.86M","5.94%"
"28-03-2024","916.15","902.65","928.00","901.75","4.19M","2.65%"
"27-03-2024","892.50","900.95","913.00","888.95","7.79M","-0.55%"
"26-03-2024","897.45","909.10","918.00","892.20","3.88M","-0.98%"
"22-03-2024","906.35","905.00","909.00","888.50","4.90M","0.50%"
"21-03-2024","901.80","882.00","909.55","877.50","6.29M","4.03%"
"20-03-2024","866.90","885.90","894.80","865.00","4.00M","-1.44%"
"19-03-2024","879.55","905.00","918.75","875.65","4.24M","-2.75%"
"18-03-2024","904.40","916.50","934.00","902.00","3.77M","-2.24%"
"15-03-2024","925.15","957.00","969.70","918.95","3.56M","-3.48%"
"14-03-2024","958.50","910.00","962.35","901.05","4.96M","5.36%"
"13-03-2024","909.75","990.45","994.95","900.00","6.43M","-7.76%"
"12-03-2024","986.25","1,016.90","1,018.90","980.55","2.88M","-2.53%"
"11-03-2024","1,011.90","1,035.00","1,045.00","1,006.05","2.78M","-1.26%"
"07-03-2024","1,024.80","1,012.00","1,034.00","1,007.00","1.82M","1.44%"
"06-03-2024","1,010.30","1,030.00","1,034.95","998.25","2.54M","-1.65%"
"05-03-2024","1,027.25","1,037.40","1,045.85","1,023.90","2.02M","-0.93%"
"04-03-2024","1,036.90","1,037.00","1,049.00","1,021.20","2.45M","0.06%"
"02-03-2024","1,036.25","1,033.25","1,039.90","1,029.00","326.70K","0.64%"
"01-03-2024","1,029.70","1,027.20","1,040.95","1,025.10","2.09M","0.67%"
"29-02-2024","1,022.80","1,012.00","1,027.00","997.10","3.01M","1.57%"
"28-02-2024","1,006.95","1,046.20","1,052.90","1,003.80","3.57M","-3.20%"
"27-02-2024","1,040.20","1,044.00","1,068.00","1,037.10","3.77M","-0.09%"
"26-02-2024","1,041.15","1,066.50","1,075.70","1,036.40","2.96M","-2.38%"
"23-02-2024","1,066.50","1,062.05","1,082.00","1,048.05","4.33M","0.20%"
"22-02-2024","1,064.40","1,041.45","1,070.00","1,032.05","5.13M","2.39%"
"21-02-2024","1,039.55","1,044.00","1,054.75","1,027.70","3.93M","-0.25%"
"20-02-2024","1,042.15","1,055.00","1,056.40","1,036.05","3.17M","-0.96%"
"19-02-2024","1,052.20","1,080.00","1,092.00","1,050.00","6.83M","1.19%"
"16-02-2024","1,039.85","1,062.00","1,067.55","1,030.10","5.40M","-1.54%"
"15-02-2024","1,056.10","1,082.00","1,086.90","1,049.05","5.01M","-1.35%"
"14-02-2024","1,070.50","1,000.00","1,078.50","990.00","9.36M","5.84%"
"13-02-2024","1,011.45","1,029.75","1,043.30","979.95","8.47M","-1.08%"
"12-02-2024","1,022.45","1,112.05","1,125.00","1,010.10","11.74M","-5.40%"
"09-02-2024","1,080.85","1,152.00","1,175.00","1,067.00","21.55M","-2.21%"
"08-02-2024","1,105.25","1,073.90","1,145.00","1,071.00","22.87M","5.82%"
"07-02-2024","1,044.45","1,031.05","1,050.00","1,014.10","7.35M","1.81%"
"06-02-2024","1,025.85","1,014.05","1,033.00","990.25","7.37M","2.70%"
"05-02-2024","998.85","956.50","1,028.00","955.00","17.22M","5.65%"
"02-02-2024","945.45","942.85","955.15","937.00","4.53M","0.90%"
"01-02-2024","937.00","956.90","964.00","926.00","3.46M","-1.34%"
