"Date","Price","Open","High","Low","Vol.","Change %"
"14-05-2019","123.35","116.35","124.55","115.00","4.55M","4.89%"
"13-05-2019","117.60","120.70","120.90","116.65","2.12M","-2.00%"
"10-05-2019","120.00","121.00","122.30","119.25","2.84M","-0.08%"
"09-05-2019","120.10","121.90","122.20","119.15","2.91M","-0.66%"
"08-05-2019","120.90","121.80","123.65","120.40","2.66M","-1.19%"
"07-05-2019","122.35","126.40","127.00","120.05","4.59M","-2.59%"
"06-05-2019","125.60","125.75","127.40","125.05","2.00M","-2.10%"
"03-05-2019","128.30","124.00","129.00","123.00","6.22M","1.30%"
"02-05-2019","126.65","126.00","130.00","124.80","3.75M","-0.31%"
"30-04-2019","127.05","131.80","131.80","125.00","4.01M","-3.31%"
"26-04-2019","131.40","135.00","135.65","130.25","4.35M","-2.49%"
"25-04-2019","134.75","135.10","137.00","133.85","2.11M","-1.03%"
"24-04-2019","136.15","132.75","137.10","132.10","4.33M","2.75%"
"23-04-2019","132.50","135.40","136.30","131.55","4.08M","-1.96%"
"22-04-2019","135.15","138.00","138.65","134.35","3.19M","-2.49%"
"18-04-2019","138.60","143.10","144.45","137.65","3.95M","-3.11%"
"16-04-2019","143.05","142.20","145.35","142.20","3.65M","0.07%"
"15-04-2019","142.95","141.00","145.15","140.55","4.38M","1.10%"
"12-04-2019","141.40","140.80","144.45","139.20","5.77M","0.28%"
"11-04-2019","141.00","142.75","143.15","138.60","3.54M","-1.30%"
"10-04-2019","142.85","145.75","147.40","142.05","4.36M","-2.16%"
"09-04-2019","146.00","142.30","147.00","137.45","8.43M","2.85%"
"08-04-2019","141.95","147.50","148.65","141.10","4.40M","-3.37%"
"05-04-2019","146.90","148.00","149.20","146.20","2.00M","-0.41%"
"04-04-2019","147.50","147.95","150.30","145.45","3.96M","-0.03%"
"03-04-2019","147.55","150.30","152.65","146.60","3.42M","-2.70%"
"02-04-2019","151.65","151.70","153.30","148.35","6.23M","0.13%"
"01-04-2019","151.45","147.45","153.20","145.10","7.94M","3.20%"
"29-03-2019","146.75","139.60","150.20","139.30","13.91M","6.49%"
"28-03-2019","137.80","138.45","143.15","136.30","3.97M","0.22%"
"27-03-2019","137.50","138.55","140.95","136.25","2.78M","-0.58%"
"26-03-2019","138.30","134.90","140.00","133.40","4.18M","2.94%"
"25-03-2019","134.35","137.00","137.60","133.50","2.98M","-2.82%"
"22-03-2019","138.25","140.70","141.45","137.05","3.15M","-0.86%"
"20-03-2019","139.45","142.00","142.70","138.05","3.24M","-1.80%"
"19-03-2019","142.00","144.45","144.85","140.50","4.32M","-1.32%"
"18-03-2019","143.90","142.40","145.00","140.35","4.93M","1.45%"
"15-03-2019","141.85","145.80","148.90","140.25","5.98M","-2.54%"
"14-03-2019","145.55","147.40","149.20","143.60","4.05M","-1.22%"
"13-03-2019","147.35","148.40","150.40","145.40","5.70M","-0.71%"
"12-03-2019","148.40","140.50","150.75","140.05","12.54M","6.72%"
"11-03-2019","139.05","137.85","140.95","137.60","2.55M","0.62%"
"08-03-2019","138.20","135.75","139.35","135.40","3.68M","0.95%"
"07-03-2019","136.90","139.00","140.95","135.30","3.50M","-1.69%"
"06-03-2019","139.25","142.75","143.75","138.20","4.86M","-1.80%"
"05-03-2019","141.80","132.50","143.70","132.00","7.60M","5.94%"
"01-03-2019","133.85","130.35","135.20","128.85","7.74M","3.88%"
"28-02-2019","128.85","133.50","134.20","128.00","3.96M","-2.57%"
"27-02-2019","132.25","133.80","136.30","129.55","5.88M","0.11%"
"26-02-2019","132.10","130.00","134.30","128.00","8.88M","0.08%"
"25-02-2019","132.00","125.00","133.90","123.00","12.77M","3.08%"
"22-02-2019","128.05","120.25","130.70","119.80","14.70M","7.24%"
"21-02-2019","119.40","119.80","121.00","117.90","2.70M","-0.54%"
"20-02-2019","120.05","117.95","121.10","116.20","3.74M","1.52%"
"19-02-2019","118.25","118.40","119.80","116.80","2.64M","0.64%"
"18-02-2019","117.50","118.30","119.90","116.10","2.57M","-1.92%"
"15-02-2019","119.80","118.15","121.15","116.50","4.51M","1.44%"
"14-02-2019","118.10","118.45","119.50","116.00","4.96M","-1.21%"
"13-02-2019","119.55","117.00","125.60","115.50","9.78M","2.22%"
"12-02-2019","116.95","117.20","120.00","115.35","3.70M","-1.06%"
"11-02-2019","118.20","122.95","123.25","115.80","7.05M","-4.48%"
"08-02-2019","123.75","123.00","125.45","115.70","8.06M","-0.16%"
"07-02-2019","123.95","122.20","126.80","119.05","9.83M","0.85%"
"06-02-2019","122.90","123.85","124.20","114.80","9.91M","-1.09%"
"05-02-2019","124.25","122.00","127.40","119.60","8.48M","0.93%"
"04-02-2019","123.10","142.90","142.90","121.30","9.83M","-13.92%"
"01-02-2019","143.00","136.95","144.80","134.55","7.09M","4.27%"
"31-01-2019","137.15","139.50","141.75","135.00","3.50M","-1.97%"
"30-01-2019","139.90","140.90","141.50","136.50","3.10M","-0.64%"
"29-01-2019","140.80","136.45","143.80","133.60","4.30M","3.23%"
"28-01-2019","136.40","138.00","141.00","118.95","9.40M","-0.69%"
"25-01-2019","137.35","142.85","145.45","136.15","3.30M","-3.65%"
"24-01-2019","142.55","143.00","144.05","141.10","1.68M","-0.31%"
"23-01-2019","143.00","145.50","146.50","142.05","2.32M","-1.85%"
"22-01-2019","145.70","145.40","146.65","141.70","2.26M","-0.17%"
"21-01-2019","145.95","146.50","148.00","144.25","1.76M","-0.55%"
"18-01-2019","146.75","149.70","149.80","144.55","2.31M","-1.51%"
"17-01-2019","149.00","148.40","151.25","146.35","2.62M","0.37%"
"16-01-2019","148.45","148.20","150.70","148.00","1.57M","-0.13%"
"15-01-2019","148.65","148.50","149.95","147.25","1.81M","0.20%"
"14-01-2019","148.35","151.00","151.15","147.00","2.62M","-2.08%"
"11-01-2019","151.50","151.10","152.60","149.10","2.25M","0.26%"
"10-01-2019","151.10","151.00","151.80","148.50","3.53M","1.17%"
"09-01-2019","149.35","153.60","154.45","147.60","4.05M","-2.67%"
"08-01-2019","153.45","150.50","154.30","149.65","2.79M","1.45%"
"07-01-2019","151.25","152.90","154.45","150.25","2.71M","-0.85%"
"04-01-2019","152.55","152.10","154.00","150.00","2.78M","0.03%"
"03-01-2019","152.50","154.90","156.10","150.30","2.76M","-1.52%"
"02-01-2019","154.85","157.00","157.85","152.50","2.74M","-1.53%"
"01-01-2019","157.25","160.90","162.35","155.45","4.73M","-2.33%"
"31-12-2018","161.00","162.85","164.20","160.20","3.89M","-0.34%"
"28-12-2018","161.55","161.95","164.30","159.80","3.91M","-0.49%"
"27-12-2018","162.35","162.25","167.80","159.85","10.88M","0.68%"
"26-12-2018","161.25","156.85","164.10","155.10","4.07M","1.70%"
"24-12-2018","158.55","159.40","160.90","156.50","3.13M","-0.50%"
"21-12-2018","159.35","159.80","161.50","152.00","5.34M","0.06%"
"20-12-2018","159.25","159.40","162.50","158.40","2.54M","-0.59%"
"19-12-2018","160.20","160.00","162.70","158.50","2.31M","1.36%"
"18-12-2018","158.05","157.70","159.75","156.20","1.69M","0.06%"
"17-12-2018","157.95","157.10","158.90","156.35","1.60M","0.54%"
"14-12-2018","157.10","156.00","157.90","154.10","3.39M","0.71%"
"13-12-2018","156.00","156.00","158.60","154.00","3.50M","-0.06%"
"12-12-2018","156.10","152.80","157.00","151.05","4.38M","2.76%"
"11-12-2018","151.90","139.00","155.85","134.50","9.25M","6.11%"
"10-12-2018","143.15","146.85","147.00","141.00","7.48M","-6.38%"
"07-12-2018","152.90","151.80","154.35","150.00","7.41M","1.56%"
"06-12-2018","150.55","155.80","156.00","149.75","5.71M","-4.35%"
"05-12-2018","157.40","161.05","164.95","155.75","8.60M","-3.29%"
"04-12-2018","162.75","165.95","166.50","160.00","3.80M","-2.37%"
"03-12-2018","166.70","166.05","168.50","163.50","3.21M","1.03%"
"30-11-2018","165.00","168.50","174.80","163.50","9.41M","-2.88%"
"29-11-2018","169.90","159.35","175.55","158.70","13.65M","7.53%"
"28-11-2018","158.00","159.15","159.60","156.30","3.16M","-0.72%"
"27-11-2018","159.15","157.35","161.00","154.25","3.93M","1.14%"
"26-11-2018","157.35","158.50","159.90","155.65","2.43M","-0.73%"
"22-11-2018","158.50","161.90","161.95","157.55","2.41M","-1.55%"
"21-11-2018","161.00","161.60","162.00","158.50","4.21M","0.53%"
"20-11-2018","160.15","161.65","163.65","156.95","4.29M","-1.20%"
"19-11-2018","162.10","162.40","164.40","159.55","3.42M","0.40%"
"16-11-2018","161.45","163.00","163.85","157.50","3.89M","-0.86%"
"15-11-2018","162.85","161.75","166.25","160.00","5.30M","1.24%"
"14-11-2018","160.85","163.30","163.75","158.25","3.26M","-0.80%"
"13-11-2018","162.15","160.25","163.00","158.75","3.64M","1.19%"
"12-11-2018","160.25","166.00","167.90","158.15","4.33M","4.94%"
"11-11-2018","152.70","152.70","152.75","152.50","7.92M","-8.18%"
"09-11-2018","166.30","165.50","167.80","163.95","4.08M","0.33%"
"07-11-2018","165.75","165.00","169.00","164.70","1.14M","0.79%"
"06-11-2018","164.45","168.25","169.00","162.00","5.83M","-2.40%"
"05-11-2018","168.50","176.10","176.75","155.80","12.67M","-4.04%"
"02-11-2018","175.60","176.60","179.50","173.80","6.84M","0.34%"
"01-11-2018","175.00","171.05","178.10","168.85","8.04M","2.94%"
"31-10-2018","170.00","167.00","173.80","164.70","10.25M","0.56%"
"30-10-2018","169.05","172.50","174.00","168.10","3.89M","-1.57%"
"29-10-2018","171.75","168.65","172.60","165.05","5.33M","3.00%"
"26-10-2018","166.75","174.00","174.75","165.30","6.98M","-3.11%"
"25-10-2018","172.10","166.75","174.40","161.50","7.46M","2.72%"
"24-10-2018","167.55","171.00","172.25","165.10","5.45M","-1.18%"
"23-10-2018","169.55","169.00","171.85","166.00","8.34M","0.62%"
"22-10-2018","168.50","171.10","176.70","164.40","13.95M","-0.15%"
"19-10-2018","168.75","158.50","170.70","158.50","11.86M","4.33%"
"17-10-2018","161.75","160.10","163.65","154.25","11.66M","2.60%"
"16-10-2018","157.65","152.35","160.00","151.75","9.67M","3.41%"
"15-10-2018","152.45","147.00","153.75","143.80","9.01M","5.98%"
"12-10-2018","143.85","140.10","145.40","140.10","6.34M","4.09%"
"11-10-2018","138.20","138.00","143.40","135.15","8.42M","-3.86%"
"10-10-2018","143.75","136.50","147.85","135.00","9.21M","5.78%"
"09-10-2018","135.90","136.00","137.70","129.35","7.19M","2.07%"
"08-10-2018","133.15","129.00","134.85","121.35","10.66M","2.27%"
"05-10-2018","130.20","131.55","135.75","128.25","6.10M","-2.07%"
"04-10-2018","132.95","129.40","134.30","127.00","7.18M","-1.37%"
"03-10-2018","134.80","137.00","141.50","130.05","6.83M","-1.86%"
"01-10-2018","137.35","127.00","138.60","121.55","9.83M","5.17%"
"28-09-2018","130.60","142.65","143.40","125.60","11.88M","-8.19%"
"27-09-2018","142.25","136.00","143.05","132.70","9.77M","4.21%"
"26-09-2018","136.50","140.40","142.50","133.70","6.77M","-1.34%"
"25-09-2018","138.35","133.50","142.40","125.65","8.57M","2.86%"
"24-09-2018","134.50","138.45","139.75","131.15","5.96M","-2.85%"
"21-09-2018","138.45","148.00","153.50","132.65","12.83M","-6.04%"
"19-09-2018","147.35","149.40","150.70","145.30","5.32M","-0.74%"
"18-09-2018","148.45","151.95","154.85","146.30","7.45M","-2.37%"
"17-09-2018","152.05","150.20","155.65","146.80","10.93M","0.96%"
"14-09-2018","150.60","149.75","152.90","148.25","8.86M","1.14%"
"12-09-2018","148.90","148.50","150.15","142.75","16.17M","0.44%"
"11-09-2018","148.25","151.00","153.70","146.30","15.08M","-1.66%"
"10-09-2018","150.75","158.00","158.00","149.65","20.59M","-4.19%"
"07-09-2018","157.35","165.25","169.90","155.70","42.70M","-3.88%"
"06-09-2018","163.70","150.00","170.65","139.35","74.82M","9.13%"
"05-09-2018","150.00","148.04","154.09","146.34","35.46M","0.26%"
"04-09-2018","149.61","150.04","153.88","143.64","29.21M","-0.05%"
"03-09-2018","149.68","160.70","161.70","145.16","20.06M","-6.55%"
"31-08-2018","160.17","159.99","162.55","158.11","14.18M","0.56%"
"30-08-2018","159.28","158.21","164.43","156.29","28.40M","0.31%"
"29-08-2018","158.78","164.75","168.27","156.36","28.86M","-2.79%"
"28-08-2018","163.33","151.21","165.32","148.93","36.39M","8.42%"
"27-08-2018","150.64","149.54","151.67","147.40","7.89M","1.46%"
"24-08-2018","148.47","149.32","152.52","147.44","7.82M","-0.97%"
"23-08-2018","149.93","152.52","153.06","145.13","14.40M","-1.15%"
"21-08-2018","151.67","152.17","157.86","150.78","22.08M","0.38%"
"20-08-2018","151.10","144.45","152.35","143.74","19.81M","4.65%"
"17-08-2018","144.38","143.64","146.98","142.71","5.50M","0.07%"
"16-08-2018","144.28","141.15","146.48","141.15","9.45M","0.30%"
"14-08-2018","143.85","138.45","146.05","138.34","13.33M","4.07%"
"13-08-2018","138.23","139.37","141.36","137.06","7.19M","-2.39%"
"10-08-2018","141.61","141.96","143.56","139.44","9.29M","-0.60%"
"09-08-2018","142.46","145.06","147.12","140.93","15.24M","0.35%"
"08-08-2018","141.96","129.45","148.40","127.28","35.49M","4.99%"
"07-08-2018","135.21","140.08","140.29","132.72","13.61M","-4.06%"
"06-08-2018","140.93","142.21","143.74","139.51","8.84M","0.02%"
"03-08-2018","140.90","138.30","145.27","137.95","20.40M","0.84%"
"02-08-2018","139.73","137.24","143.42","131.90","17.02M","1.69%"
"01-08-2018","137.41","139.37","140.51","136.28","5.37M","-1.13%"
"31-07-2018","138.98","137.56","140.93","135.85","8.95M","0.98%"
"30-07-2018","137.63","140.22","142.50","136.77","13.91M","-1.20%"
"27-07-2018","139.30","140.83","147.01","135.46","28.50M","-0.93%"
"26-07-2018","140.61","138.16","143.60","134.43","42.45M","-1.03%"
"25-07-2018","142.07","131.55","145.98","130.62","57.01M","7.39%"
"24-07-2018","132.29","121.59","133.68","117.43","54.18M","8.67%"
"23-07-2018","121.74","114.73","122.59","113.06","23.37M","5.07%"
"20-07-2018","115.87","108.15","117.11","106.45","27.02M","7.88%"
"19-07-2018","107.41","101.97","109.65","100.30","14.41M","6.23%"
"18-07-2018","101.11","98.31","102.39","96.67","15.51M","2.82%"
